Subject,WA_AVG,BVT_AVG,BVC_AVG,BVC_SD,BVT_SD,WA_SD,BVC_NORM,BVC_SD_NORM,BVT_NORM,WA_NORM,RTQ_AVG,RTQ_SD,RTQ_NORM,RTQ_SD_NORM,BR_AVG,WL_AVG,WL_SD,BR_SD,BR_NORM,BR_SD_NORM,WA_SD_NORM,WL_NORM,WL_SD_NORM,Treatment,M_Stress
T003,85342.83289,152.7035048,1263.72172,418.2982999,20.39771407,19301.702,3.186989838,4.602458902,1.224667865,2.126300908,0.410402307,0.085298562,0.49737387,0.991164223,7.958955608,206,64.06832291,3.755439278,0.415195008,1.403634921,1.923098228,2.588752749,3.758663307,PR,0
T005,54434.40874,89.41653829,490.8244358,231.1024504,29.73284501,42041.36439,2.785602047,14.50820918,1.969547966,2.673042332,0.437733696,0.369613777,0.727594205,3.984633052,11.68673628,138.9230769,43.76096688,4.120744229,0.748345223,2.301323674,17.11989855,1.430721698,3.53538315,PR,0
T009,72031.2705,340.7497372,1397.713894,788.3398916,90.7081463,31495.11793,2.177119967,5.35762143,1.459604651,1.064543488,0.781038324,0.275948999,0.826398609,3.453797238,18.06406967,101.7222222,55.48567383,8.077496815,0.832057598,4.351768716,1.646787281,1.466945932,7.428356901,PR,0
T011,81719.2726,272.7454038,1839.643349,932.6488669,95.19053949,48051.34105,5.226359888,6.293668116,2.756959537,3.05686998,1.237262423,0.419906655,1.774828399,2.0960101,8.985242647,175.8,57.98873923,3.177070185,0.522484109,1.176876119,4.328049568,1.979585906,2.223028272,PR,0
T016,19706.97397,94.64385772,368.465013,165.5103115,22.25603438,7132.951519,1.233119156,2.868458146,1.184485811,0.769952252,0.820745894,0.302511522,1.03595234,2.06298791,17.64006663,98.51612903,44.19592825,7.283778384,1.053899272,1.830800582,1.758896077,1.038469385,1.575293512,PR,0
T019,34936.51189,94.93538386,697.9185933,102.6129054,14.46274622,3843.613967,2.171669405,2.674484851,1.138782586,1.068967446,0.521583333,0.132424106,0.730405503,1.449774718,8.155101765,185,44.04270655,2.872426323,0.51895505,1.412138643,0.773074277,1.913793103,3.288816555,PR,0
T046,60967.32657,165.3461419,973.6464351,549.9175718,25.56215625,19594.02545,0.935615698,1.382406586,0.877125098,0.552359005,0.532418173,0.165231104,0.463630278,1.182707949,9.928707965,154.8571429,76.33616362,4.721264659,0.891583577,3.026574324,0.457167897,1.133828792,3.728246841,PR,0
T051,56543.72828,154.3365185,924.5609635,204.5463189,22.11928284,5559.553121,1.375876653,1.348370725,1.198097457,0.952770321,0.501218015,0.141339178,0.753435305,1.725110114,10.4605737,145.3333333,31.92545027,2.1808427,0.878299872,1.415891195,0.412366444,1.142935982,1.40277288,PR,0
T061,54915.77453,119.0789157,839.6749841,196.0992641,21.46244864,11163.45718,2.345806389,1.386041023,1.291888711,2.035214544,0.503526766,0.217738686,0.769482727,1.189096519,8.873008878,180.6,56.02008568,3.399468962,0.557308575,0.994450011,1.423321455,1.877877375,1.673020478,PR,0
T063,72516.85473,217.3719063,878.8120491,306.6265441,75.11182382,16918.89175,2.719676612,1.922774581,2.709691661,4.870665078,0.631320166,0.436472907,0.814096856,1.439754027,15.99953583,106.2380952,43.79825721,7.780855205,1.055016305,2.478670973,1.322654002,1.055497275,0.838761218,PR,0
T064,19520.60118,84.6886804,408.7625305,136.0421245,11.57980362,8186.227819,1.069332338,1.027369747,0.919015927,0.795217453,0.753310618,0.355568025,0.857014363,2.606168223,13.24751782,126.3636364,44.86125884,7.405759411,0.854615742,2.028802769,0.912864887,1.24190306,1.398792774,PR,0
T065,68314.50936,194.2094701,1094.459623,429.4001773,28.4788525,21144.09571,2.381211904,4.319316574,1.425123044,1.639897267,0.55448969,0.378739345,0.75270591,3.511634206,13.10285497,146,66.61050355,8.647918317,0.736710573,3.50938308,2.232240439,1.708268331,5.043293932,PR,0
T068,85371.34308,249.2867642,1416.753335,417.0612367,48.00127307,26975.91559,2.136732729,1.011684368,2.827731325,1.093875544,0.903499929,0.310901385,1.027506204,0.941389949,11.45136721,139.5,44.11884203,4.963983948,1.195202587,1.187308337,0.561623439,0.750288129,0.430705254,PR,0
T077,13986.39908,59.80393222,302.6306489,80.77218348,13.44609855,4919.596163,0.967537056,0.566713077,0.924277923,1.971928918,0.514467831,0.22753866,0.583159987,0.894681357,12.50771021,128.2,36.22427842,4.791492039,0.977706868,1.553421309,0.745494015,1.053286385,1.309434338,PR,0
T078,4022.813061,38.76801383,235.50415,109.4877716,5.01286096,2344.878613,1.293586537,1.317462529,0.782736909,3.853596896,1.25059881,0.269588389,1.266903203,0.88494214,10.59574617,155.0909091,68.84654061,6.406543827,0.553304357,0.590198159,4.808658255,1.660629237,1.748165102,PR,0
