Subject,WA_AVG,BVT_AVG,BVC_AVG,BVC_SD,BVT_SD,WA_SD,BVC_NORM,BVC_SD_NORM,BVT_NORM,WA_NORM,RTQ_AVG,RTQ_SD,RTQ_NORM,RTQ_SD_NORM,BR_AVG,WL_AVG,WL_SD,BR_SD,BR_NORM,BR_SD_NORM,WA_SD_NORM,WL_NORM,WL_SD_NORM,Treatment,M_Stress,
T003,44019.81271264362,161.44549020019124,605.3616127845136,375.0687229839099,56.05112387800361,30583.801481242936,1.5266662575048022,4.126811855003824,1.2947777728410428,1.0967454978901454,0.8135792793443982,0.2084580536594408,0.985991229,2.422270212022749,18.039063693984893,94.01856764,40.70706603416441,5.402489667537923,0.9410442225461375,2.0192373236923253,3.0471745148305205,1.181508861,2.388140480347271,DT,2,1
T005,31514.761858895683,62.26720859755899,301.56791164640487,281.8839551810834,36.31696154270755,37473.872525035666,1.7115044213847788,17.696183568433888,1.3715388273360423,1.5475559386352906,0.7349988232433213,0.20990292334144225,1.2217037182657058,2.262865126554561,15.190766433203247,116.82515337423312,58.59579187895723,5.429103492718966,0.9727213161081275,3.032006768294701,15.259944708143475,1.2031426712073443,4.733866503118602,DT,2,2
T009,46159.51986546183,202.98408205497844,577.0625765737076,277.3040177808598,47.03057803262246,27008.384595921038,0.8988495162857727,1.884580450897769,0.8694841927756405,0.6821872770001922,0.9276224711616815,0.2260762733197055,0.9814959084733408,2.829586670404067,22.750960478264897,71.11244979919678,24.819302488184473,5.319453792737902,1.0479426769039129,2.8658671280693175,1.4121891632886316,1.025519465583802,3.3227790924778158,DT,2,3
T011,59832.696779661004,169.78979657982507,705.5701521291288,437.92103986553053,63.755859612090866,32751.80996780798,2.0044991567452706,2.9551632815523554,1.7162657646255228,2.238159601589693,0.778606496,0.20244677879729348,1.1168955721958866,1.0105352883046876,16.12357831,103.65254237288136,43.88974893823017,4.445384787,0.9375721702033525,1.6466955056050347,2.9500000181124224,1.167173561045885,1.6825361962205374,DT,2,4
T016,16153.93933193277,70.26691937955464,223.73617306761426,118.91700452961415,12.312942479642865,4909.122138390261,0.7487640649500455,2.0609498423162185,0.8794038088841029,0.6311350486039856,0.8365422991983148,0.17826294322556002,1.0558906942276995,1.2156703803227367,20.61142864693009,79.82563025210084,39.388872721049594,4.952213565690939,1.231422199829265,1.2447544390476757,1.2105277385162885,0.8414507756721803,1.403953669476664,DT,2,5
T019,28299.640278714796,84.36034914679178,305.5514874929551,180.60337282454168,23.71946212950407,18184.387748768273,0.9507653519152565,4.707214776966315,1.0119314069682792,0.865896237,0.8363596131924846,0.2567185239457192,1.1712062583260594,2.810545879154895,18.783559867297825,89.73493975903614,39.473574465026026,5.3509410092375225,1.1953036926870155,2.630622939893508,3.657464703443594,0.9282924802658911,2.947624143777739,DT,2,6
T031,27279.53028915665,75.16094498067577,344.33448576561653,224.9012401975473,29.82712828920329,21694.959967527608,1.5486138731896353,6.269439585392843,1.653057956424238,1.2009188767637549,0.8771019662043652,0.31280399316886776,1.213929181,2.4693144333150623,15.08199936947771,114.58433734939759,58.23413060084897,5.0364277245127145,1.2049303971775134,2.4538345553385614,3.484008309370811,0.9411444546151753,3.0615925345348716,DT,2,7
T046,57688.23876641732,217.14930321574153,782.3710627839461,533.3029602912109,68.11365359652086,41596.66989027986,0.7518115627513984,1.340640056933885,1.1519295317403329,0.5226507374558527,0.9000230186276023,0.19265563439945363,0.7837409455933116,1.3790100359970514,19.49045648012418,88.56109725685785,42.240713228588035,5.931930844485321,1.7502147279772764,3.8026738347221434,0.970533705,0.6484242188363388,2.063030131494713,DT,2,8
T061,25322.396333333352,95.70177925099507,355.8212125432535,168.80211946916222,35.38770075368692,10613.483886205053,0.9940604273926178,1.1931032142239266,1.0382698529519845,0.9384645805022933,0.7651824627774485,0.193881949,1.1693413902482368,1.0588120775084988,17.211611190720248,93.34582132564842,33.381335021289196,4.080498998302383,1.0810513812155649,1.1936723996529597,1.3532008130362647,0.970609114,0.9969220217239813,DT,2,9
T063,35588.44904657537,98.0412404,409.92125756572415,253.15705843080966,44.20119912125952,23686.57718091501,1.268591228260763,1.5874814702492845,1.2221520991338166,2.3903327935947822,0.7941784400440287,0.21301381185077728,1.0241050512764316,0.702649554,15.971346913328611,103.36164383561643,43.23932708005616,4.0293335263535495,1.053157515,1.2835853883399908,1.8517256666807536,1.0269191396195152,0.8280573923267046,DT,2,10
